,Ultimate Parent Name,Country,Ultimate Parent ISIN,Latitude,Longitude,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
9244,Crédit Agricole Group,France,,43.59572,1.419071,77,81,81,83,84,85,87,88
4610,"Advanced Energy Industries,",Switzerland,US0079731008,46.718257,6.963047,71,72,67,69,74,76,79,80
24978,Raiffeisen Banking Group,Hungary,,47.33075,17.46626,61,65,62,66,71,71,75,76
3918,EnBW Energie Baden-Württemberg,Germany,DE0005220008,50.70441,13.43957,70,72,72,73,80,82,86,86
31572,Nyfosa AB (publ),Sweden,SE0011426428,59.73929,18.69007,66,69,69,79,81,85,87,90
45944,State Bank of Vietnam,Vietnam,,20.9374,106.3146,76,77,77,77,79,80,81,81
53590,India,India,,24.53334,81.30001,81,79,75,74,73,72,70,74
4076,Encavis AG,Germany,DE0006095003,48.80646,12.86842,67,69,67,73,79,85,88,88
54212,Société Générale Société anony,Madagascar,FR0000130809,-18.88472,47.52209,52,52,50,56,61,68,72,75
36724,Callaway Golf Co.,Netherlands,US1311931042,52.22555,6.94635,70,71,73,79,84,88,89,90
39853,Tata Teleservices (Maharashtra,India,INE517B01013,15.530701,73.824686,42,41,43,43,48,48,53,56
7085,China Minsheng Banking,China,CNE0000015Y0,39.04928,121.7736,65,68,68,70,75,74,77,80
46523,The Norwegian Ministry Trade I,Sweden,,62.93026,12.15196,73,73,73,76,75,74,75,77
37834,HAL Trust,Netherlands,BMG455841020,51.631477,5.41528,78,84,83,89,90,92,94,94
31802,CaixaBank S.A.,Spain,ES0140609019,42.5464,-5.460165,79,82,82,88,89,92,94,93
13236,Haier Smart Home Co.,Czech Republic,CNE000000CG9,50.21361944,13.3925,71,72,72,74,80,83,87,86
25353,Compagnie de Saint-Gobain S.A.,United Kingdom,FR0000125007,50.9733,0.388682,74,77,73,80,83,84,89,90
45169,China,China,,23.56097,116.2073,70,71,70,71,73,75,77,78
49533,China,China,,37.17609,119.9487,76,76,74,74,76,75,76,78
40536,China,China,,34.72395,118.9464,72,78,77,79,79,82,83,86
23003,India,India,,19.19555,72.98794,46,52,53,51,54,57,61,62
48566,State Jammu & Kashmir,India,,32.36725,75.53751,84,81,79,80,79,78,79,81
42223,The Sherwin-Williams Co.,Netherlands,US8243481061,52.50136,5.43242,69,73,73,81,84,85,88,90
570,India,India,,26.48304,72.99207,80,76,74,74,73,72,73,75
24858,China,China,,37.85863,112.5821,78,79,79,77,79,80,81,80
5936,Fastighets AB Balder,Sweden,SE0000455057,57.70134,11.97309,62,63,63,68,71,71,73,76
7655,India,India,,17.39369,78.48193,80,78,76,74,76,74,74,73
5231,China,China,,21.18517,110.4108,71,73,74,76,79,80,82,83
12314,India,India,,28.69835,77.12032,79,77,73,71,72,70,68,73
56445,Co-Operative,United Kingdom,,52.6240117,1.7309448,70,73,71,78,83,84,88,90
40406,India,India,,28.68727,77.0557,79,77,73,71,72,70,68,73
28019,India,India,,28.20632,76.81424,82,78,75,74,74,71,69,74
1132,Raiffeisen Gruppe,Switzerland,,47.56133,8.285229,69,72,66,71,75,81,84,85
17081,Republic of Turkey Ministry,Turkey,,40.76529,29.91247,72,76,78,81,83,85,87,87
34367,Apple Inc.,United Kingdom,US0378331005,51.51219177,-0.123741001,78,81,77,80,81,80,84,85
6857,India,India,,9.742808,76.61096,63,64,64,65,67,71,73,75
33640,Encavis AG,Germany,DE0006095003,52.961044,13.256253,78,78,77,77,83,84,87,88
54161,Country Garden Holdings,China,KYG245241032,27.72634,112.00136,67,72,72,72,76,76,78,80
5044,Sacombank,Vietnam,VN000000STB4,12.69991,109.2267,51,52,50,59,60,64,64,65
47698,Republic of Turkey Ministry,Turkey,,38.37974,27.11236,80,82,83,84,84,85,88,88
27092,Banque Centrale Populaire,Morocco,MA0000011884,30.41163,-9.59757,56,68,68,70,74,76,78,80
10741,India,India,,21.60107,79.96715,72,69,63,63,63,63,63,61
39080,Credito Agrícola Group,Portugal,,39.465,-8.1977,77,77,77,82,82,83,88,89
17253,Bank of Jiangsu Co. Ltd.,China,CNE100002G76,31.59031,120.2664,69,72,73,77,81,82,83,86
43666,Bank of Comms Co. Ltd.,China,CNE100000205,30.91478,121.4586,73,74,75,79,81,81,83,83
19356,Chongqing Rural Commercial,China,CNE100000X44,30.36866,107.8059,67,71,70,77,83,85,88,89
49267,India,India,,29.21682,76.14362,81,77,74,72,74,70,70,74
16352,India,India,,23.63338,77.43329,81,79,76,74,73,74,72,74
15117,China Water Industry Group,China,KYG2114E1355,28.32965,112.85275,69,71,73,75,79,79,81,83
1068,China,China,,26.58601,106.7041,63,66,67,71,76,79,80,82
52842,Credito Agrícola Group,Portugal,,41.36257,-8.201503,74,74,74,76,79,78,83,83
14588,CaixaBank S.A.,Spain,ES0140609019,38.03396,-3.288432,84,85,85,87,87,89,91,92
43019,Marks & Spencer Group plc,United Kingdom,GB0031274896,51.437839,0.0430818,80,83,79,84,87,88,92,92
40348,Sigdo Koppers S.A.,Belgium,CL0000001272,50.6043,5.6348,79,80,83,85,87,88,91,91
40397,India,India,,9.543134,76.58783,63,64,64,65,67,71,73,75
44611,HSBC Holdings plc,France,GB0005405286,49.04456,3.401001,72,76,75,84,87,90,91,91
25777,Saipem SpA,France,IT0005252140,48.791036,2.044151,68,70,68,73,76,78,81,82
17338,Unicaja Banco S.A.,Spain,ES0180907000,37.34382,-6.1383,84,84,86,87,87,89,90,91
28439,B&M European Value Retail S.A.,United Kingdom,LU1072616219,51.1247247,-3.0052282,74,76,74,79,81,83,87,89
2333,India,India,,9.22547,76.67988,55,58,58,61,64,70,73,75
39128,Anheuser-Busch InBev SA/NV,South Africa,BE0974293251,-33.837394,25.541464,56,54,52,57,61,66,68,73
45872,Société Wallonne de Gestion et,France,,47.71,-2.49,81,84,82,87,88,90,92,92
55765,Eurobank Ergasias Svcs & Hldgs,Greece,GRS323003012,36.41783,25.43355,67,66,68,68,67,67,66,66
26326,Supermarket Income REIT plc,United Kingdom,GB00BF345X11,53.77583,-2.68622,74,75,73,76,77,81,83,86
43210,Cheniere Energy Inc.,United Kingdom,US16411R2085,51.50988,-0.144559,78,81,77,80,81,80,84,85
