,Ultimate Parent Name,Ultimate Parent ISIN,Asset ID,Latitude,Longitude,Activity Description,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
5551,China,,582278,23.02089,113.7516,Bank Branch,70,70,68,72,75,76,77,79
19414,SASAC,,472541,24.64698,116.9515,Electric Plant,75,76,78,79,80,79,82,81
5665,China,,427689,31.03577,104.6775,Bank Branch,69,74,72,76,79,82,84,85
1391,China Guangfa Bank,,283571,22.92038,114.0724,Bank Branch,70,69,68,72,75,76,78,80
47608,China,,501244,29.70899,107.391,Bank Branch,66,67,66,69,76,78,79,80
9225,SASAC,,72283,34.46846,115.70723,Power Plant,74,80,80,81,81,82,83,85
8190,China,,491260,37.47305,118.5527,Bank Branch,75,79,75,75,74,76,78,80
4004,China,,608501,23.11458,113.2691,Bank Branch,67,69,68,70,73,74,76,78
54231,China,,428687,29.76907,84.03326,Bank Branch,72,74,70,73,75,81,83,85
4523,SASAC,,70584,30.60038,116.76641,Power Plant,66,68,71,74,78,77,79,81
52470,China,,608062,30.81983,104.1825,Bank Branch,64,69,65,71,76,77,80,80
6957,China,,69849,33.93268,118.17057,Power Plant,62,68,68,71,74,74,76,78
21862,China,,447582,30.0069,120.8174,Bank Branch,72,74,76,81,83,83,86,87
46082,People's Gvt Shandong Province,,408043,39.12424,117.2129,Bank Branch,66,67,62,58,60,59,62,62
875,China Vanke Co,CNE0000000T2,10140892,36.68416,117.23265,Multi-Use,70,70,67,67,65,66,67,67
6958,Chongqing Rural Commercial,CNE100000X44,290740,28.54103,106.6798,Bank Branch,71,72,73,77,82,88,89,90
51364,China Merchants Bank,CNE000001B33,867459,22.54024,113.9484,Bank Branch,72,71,71,74,76,78,80,81
13462,China,,452656,22.27065,113.5275,Bank Branch,71,70,69,71,73,75,76,76
14899,Poly Property Group Co.,HK0119000674,10152642,30.54253,120.00816,Residential,78,79,80,84,86,85,87,88
18766,Bank of Shanghai Co. Ltd.,CNE100002FM5,530809,31.23943,121.3957,Bank Branch,79,79,81,83,85,86,87,88
35950,China Minsheng Banking,CNE0000015Y0,800132,39.95246,116.4542,Bank Branch,78,79,78,75,78,76,77,78
11687,Industrial Bank,CNE000001QZ7,347306,38.91291,121.6071,Bank Branch,65,67,68,70,75,74,77,80
50614,Bank Inner Mongolia Co.Ltd,,538308,40.81598,111.6694,Bank Branch,81,79,79,78,81,80,81,83
6468,Hangzhou United Rural,,789863,30.24783,120.1627,Bank Branch,77,77,78,81,83,81,83,84
22824,China,,391565,27.63588,113.8427,Bank Branch,67,68,69,69,74,72,76,77
28232,Fudian Bank Co. Ltd.,,743620,25.02482,98.49121,Bank Branch,67,69,71,74,78,84,87,87
8539,Road King Infrastructure,BMG760581097,10213002,31.60516,120.18915,Residential,68,72,71,76,80,81,82,84
14382,China,,603981,22.54606,113.9873,Bank Branch,72,72,71,74,77,78,80,82
13371,China Merchants Bank,CNE000001B33,319121,31.19309,121.4384,Bank Branch,79,80,81,84,86,86,87,88
11097,China,,428334,39.13873,117.0118,Bank Branch,65,66,62,57,59,58,61,60
24143,China,,389855,36.72354,119.1221,Bank Branch,77,81,77,77,77,79,80,83
38788,China,,419892,32.9119,120.7278,Bank Branch,67,68,70,76,78,82,83,85
44787,Bank of Comms Co. Ltd.,CNE100000205,786672,39.92978,116.495,Bank Branch,78,79,78,75,78,76,77,78
32867,China,,422531,42.23286,123.7674,Bank Branch,70,70,64,73,75,73,82,80
54160,Chang Hwa Commercial Bank,TW0002801008,853814,31.99184,118.7135,Bank Branch,62,64,63,68,71,70,71,73
30368,China,,411640,23.23834,111.5347,Bank Branch,68,69,69,70,72,73,72,75
48044,China,,491681,28.85297,115.9133,Bank Branch,67,70,72,74,77,78,80,82
547,China,,499951,37.54245,115.575,Bank Branch,78,78,76,71,69,70,72,71
32672,China,,417691,30.54439,114.3263,Bank Branch,62,65,67,68,71,70,73,73
1751,China,,411565,21.27253,110.3264,Bank Branch,70,71,71,72,76,76,77,78
10121,China,,497885,20.03656,110.3393,Bank Branch,70,72,75,75,78,81,81,82
35449,Hua Xia Bank,CNE000001FW7,883251,43.83104,126.5344,Bank Branch,63,62,58,59,56,58,61,59
20859,China,,393013,41.98807,122.8351,Bank Branch,67,65,58,67,67,66,72,71
9130,Bank of Jilin Co.Ltd.,,292361,43.15948,124.3766,Bank Branch,76,74,71,76,77,75,82,81
16555,Galaxy Earnest Ltd.,,10070555,32.37256,119.50007,Residential,67,68,69,75,78,80,80,83
25022,Guangzhou Rural Commercial,CNE100002FR4,470400,23.24598,113.2059,Bank Branch,67,68,69,70,74,74,76,78
16336,Shenzhen China Bicycle Co (Hld,CNE000000321,3334750,22.5746,114.12471,Instn Address,67,68,66,69,71,73,74,76
6859,China,,797923,29.89414,120.6267,Bank Branch,72,74,74,80,81,83,85,87
50349,China,,843234,39.42181,118.8974,Bank Branch,76,79,76,77,77,78,80,81
43621,China,,493435,43.83788,126.5496,Bank Branch,63,62,58,59,56,58,61,59
42836,Ping An Ins (Grp) Co. CN Ltd,CNE1000003X6,853270,35.42122,116.5843,Bank Branch,76,79,77,77,76,78,78,79
41141,Dongguan Rural Comm Bk Co. Ltd,CNE100004QH8,833580,23.04854,113.781,Bank Branch,66,66,63,67,69,69,71,73
14631,China,,608638,31.9574,120.4455,Bank Branch,66,68,67,70,74,74,76,78
25360,Ping An Ins (Grp) Co. CN Ltd,CNE1000003X6,292843,19.99778,110.3099,Bank Branch,70,73,74,75,78,81,83,83
28460,Sichuan Tianfu Bank Co.Ltd,,502591,31.57612,105.9722,Bank Branch,63,67,65,72,76,78,79,81
25858,China,,415366,38.02932,115.0329,Bank Branch,77,78,76,70,70,70,71,71
55300,Australia & New Zealand Bnkg G,AU000000ANZ3,753731,36.06461,120.3734,Bank Branch,79,80,82,80,82,84,84,87
27333,China,,447119,29.8671,121.5702,Bank Branch,74,75,76,79,81,80,83,84
31133,Industrial Bank,CNE000001QZ7,347199,39.12018,117.2045,Bank Branch,66,67,62,58,60,59,62,62
21757,Bank of Comms Co. Ltd.,CNE100000205,844250,32.02518,120.8561,Bank Branch,66,67,67,71,74,75,77,80
8195,Yanlord Land Group Limited,SG1T57930854,134085,30.70856,104.06033,Multi-Use,64,69,66,71,75,78,81,81
54582,China,,415983,35.20187,113.2735,Bank Branch,76,75,75,72,74,73,73,74
26496,Dongying Bank Co.Ltd,,518708,37.50812,118.484,Bank Branch,75,78,73,76,74,76,78,79
14619,Panasonic Holdings Corp.,JP3866800000,3006674,30.292825,120.358938,Instn Address,67,68,69,73,75,74,76,77
23308,China,,496988,23.49987,111.3296,Bank Branch,68,70,69,71,73,73,71,75
693,GCL Technology Holdings Ltd.,KYG3774X1088,71327,34.82012,119.13636,Power Plant,73,77,77,77,78,82,83,86
10502,China,,444282,43.94069,116.0804,Bank Branch,83,81,82,81,85,82,85,87
32664,China,,417365,30.70124,112.5943,Bank Branch,66,68,71,72,78,78,81,82
55530,KWG Group Holdings Ltd.,KYG532241042,10162056,30.4225,120.30212,Multi-Use,67,68,68,73,75,74,76,77
24569,SASAC,,71282,30.09629,99.04774,Power Plant,64,64,62,71,72,81,85,87
48013,China,,418803,27.79662,113.1875,Bank Branch,69,72,74,75,79,80,82,84
16210,Metrobank Bank & Trust,PHY6028G1361,629294,32.00832,118.7074,Bank Branch,61,63,62,67,70,70,70,74
46423,China Merchants Bank,CNE000001B33,812716,30.31467,112.2631,Bank Branch,63,65,66,66,72,70,74,74
20348,China,,455261,36.04022,101.4333,Bank Branch,64,60,67,66,75,80,82,83
55992,China Minsheng Banking,CNE0000015Y0,733721,40.82778,111.6631,Bank Branch,81,79,79,78,81,80,81,83
53172,China,,497379,41.81439,123.3238,Bank Branch,76,74,69,75,75,75,80,79
45420,China,,443455,39.57152,116.5898,Bank Branch,80,81,81,72,74,73,75,75
52147,Greentown China Holdings Ltd.,KYG4100M1050,10193782,29.71372,106.57017,Multifamily,69,72,70,76,81,85,86,88
46230,Jiangxi Bank,CNE1000031B3,537200,28.65841,115.8838,Bank Branch,64,66,67,67,71,72,73,75
6153,Deutsche Bk Aktiengesellschaft,DE0005140008,532929,29.55799,106.5798,Bank Branch,67,67,65,69,74,77,77,80
11511,China,,449636,36.83494,115.7184,Bank Branch,73,75,75,73,70,72,72,73
4031,China,,727479,30.29319,120.1691,Bank Branch,76,77,77,81,82,81,83,83
11958,China,,526004,38.90026,121.5648,Bank Branch,65,67,68,70,75,74,77,80
48660,China,,416405,35.0735,112.5413,Bank Branch,79,82,81,80,82,84,83,83
25743,China,,583195,23.16399,114.2832,Bank Branch,70,71,69,70,71,72,73,75
31042,Standard Chartered PLC,GB0004082847,544384,39.91537,116.3624,Bank Branch,78,79,78,69,72,70,72,72
21141,China,,413823,22.76787,108.7965,Bank Branch,69,70,74,76,80,83,80,84
55432,SASAC,,803599,23.03819,113.7751,Bank Branch,66,66,63,67,69,69,71,73
36792,China,,387665,30.93151,113.9247,Bank Branch,68,73,74,73,75,74,77,78
11832,China,,498633,35.76621,115.072,Bank Branch,76,78,78,77,76,78,78,78
534,China,,491665,29.26083,115.1056,Bank Branch,64,67,68,69,70,71,73,76
53902,China,,409804,40.44569,115.9784,Bank Branch,77,75,73,66,66,64,66,67
26744,China,,393125,39.10584,121.7152,Bank Branch,66,68,68,69,75,73,78,79
34108,SASAC,,298338,27.31709,120.4656,Electric Plant,79,80,83,84,87,88,89,90
43145,Ping An Ins (Grp) Co. CN Ltd,CNE1000003X6,853029,35.98343,119.4087,Bank Branch,77,79,79,79,80,81,81,86
6886,Bank of Comms Co. Ltd.,CNE100000205,358811,28.67435,115.9373,Bank Branch,64,66,67,67,71,72,73,75
28661,Dongguan Rural Comm Bk Co. Ltd,CNE100004QH8,833739,22.76967,114.137,Bank Branch,71,71,70,74,76,77,79,81
47802,China Merchants Bank,CNE000001B33,319314,30.50479,114.401,Bank Branch,62,65,67,68,71,70,73,73
14364,China,,296300,41.11496,122.9929,Bank Branch,75,74,71,75,75,74,80,79
48181,China,,430074,24.19431,97.79527,Bank Branch,60,63,68,69,72,79,85,84
5199,Wheelock and Co. Ltd.,HK0020000177,10157216,22.90082,113.03395,Residential,64,65,64,66,68,68,71,72
10164,Chongqing Rural Commercial,CNE100000X44,289810,29.60442,106.1002,Bank Branch,73,77,77,81,86,89,89,91
36937,The Pacific Secs Co. Ltd,CNE1000008V9,4317430,24.880011,102.832962,Company Headquarters,77,80,84,88,90,93,94,94
13313,China,,500309,34.53388,109.0877,Bank Branch,69,73,72,77,81,81,83,85
10282,Guangdong Baolihua New Energy,CNE000000P12,4385548,23.142358,113.324766,Company Headquarters,63,64,62,64,68,67,69,72
18901,Beijing Municipal People's Gov,,10066316,31.88374,120.32716,Multi-Use,69,71,71,76,80,82,83,85
39337,China,,492287,40.38239,116.8589,Bank Branch,76,75,73,72,73,71,72,72
32221,Qi Shang Bank Co. Ltd.,,304585,37.1684,117.832,Bank Branch,76,81,79,80,80,81,83,84
38445,China,,411980,22.85165,113.0353,Bank Branch,64,65,64,66,68,68,71,72
5539,China,,421044,31.66119,119.0357,Bank Branch,66,69,69,73,78,78,79,81
26509,Chang'an Bank Co.,,519831,33.08411,107.0143,Bank Branch,63,65,62,68,72,73,74,75
24389,China Jinmao Hldgs. Group Ltd.,HK0817039453,10182601,32.00974,118.81137,Residential,62,63,62,68,69,71,70,73
34433,China,,413390,23.7364,106.9168,Bank Branch,69,71,74,76,79,80,78,80
37711,China,,431039,28.00154,120.712,Bank Branch,76,77,78,80,82,83,84,85
35805,Bank Xi'an Co.,CNE100003JB8,297762,38.24105,109.7561,Bank Branch,81,80,80,78,81,81,81,82
3809,China,,497755,36.64465,116.9614,Bank Branch,73,79,77,78,77,78,80,80
20413,China Merchants Bank,CNE000001B33,318680,30.61585,104.0724,Bank Branch,64,69,66,71,75,78,81,81
34033,Panasonic Holdings Corp.,JP3866800000,3030196,31.264868,120.565918,Instn Address,77,78,78,81,83,83,85,86
17700,SASAC,,254812,28.35386,100.88,Electric Plant,63,62,65,73,76,83,85,86
49659,China,,412023,23.02503,113.7381,Bank Branch,65,66,63,67,68,69,71,73
42281,China,,733456,40.61636,109.9182,Bank Branch,76,76,81,80,83,84,85,85
1171,China Minsheng Banking,CNE0000015Y0,346902,24.89493,118.5935,Bank Branch,72,70,72,74,73,75,77,80
28476,China,,493908,30.76306,120.7582,Bank Branch,70,70,73,76,78,78,81,81
27496,China,,411373,23.12228,113.278,Bank Branch,63,64,62,64,68,67,69,72
54728,China,,430521,27.97565,120.7666,Bank Branch,78,79,81,83,85,87,88,89
11684,China,,410701,38.92736,100.4626,Bank Branch,72,69,71,68,72,72,76,73
20941,Tianjin Rural Comm Bk Co. Ltd.,,825946,38.93202,117.3614,Bank Branch,69,71,64,62,63,64,66,66
16991,China,,832000,36.18761,117.1298,Bank Branch,75,77,75,74,74,74,74,75
12046,Chen Ting Sen (PTC) Ltd.,,10218895,30.05202,120.61218,Residential,72,73,75,80,83,83,85,86
51479,Hangzhou Robam Appliances Co.,CNE100000WY9,4912255,30.444901,120.292598,Company Headquarters,77,78,78,81,82,82,83,84
30418,Apple Inc.,US0378331005,231083366,22.81723595,108.3662643,Retail,64,68,68,70,72,75,72,75
9177,China,,422000,40.45353,124.0703,Bank Branch,64,64,58,68,68,69,74,74
5359,China,,410452,26.57496,118.2711,Bank Branch,72,73,75,80,81,82,85,86
29827,China Vanke Co,CNE0000000T2,10157253,31.33512,120.52632,Multi-Use,77,78,78,81,83,83,85,86
31127,Industrial Bank,CNE000001QZ7,785934,35.41986,119.5078,Bank Branch,72,73,77,75,76,78,79,84
33509,China,,391732,23.15388,113.3054,Bank Branch,63,64,62,64,68,67,69,72
26000,China,,832157,22.55744,113.947,Bank Branch,68,68,66,69,72,73,74,76
2504,China,,762937,29.58756,111.3859,Bank Branch,63,65,67,67,73,72,75,75
25836,Shanghai Rural Comm Bk,CNE100004QD7,295467,30.72882,121.3436,Bank Branch,72,72,75,77,80,79,82,83
23115,China,,428957,39.48941,75.99894,Bank Branch,79,79,77,80,82,83,84,86
14527,China,,414213,26.12977,106.6561,Bank Branch,68,72,73,78,84,89,88,90
19014,Industrial Bank,CNE000001QZ7,785823,29.31804,120.0752,Bank Branch,68,69,69,73,75,74,77,79
25981,China,,831325,22.70551,113.5394,Bank Branch,72,72,72,75,78,79,81,83
7363,China,,426543,31.07054,121.6463,Bank Branch,75,75,79,83,86,87,90,90
9097,Bank of Comms Co. Ltd.,CNE100000205,359475,24.33591,102.495,Bank Branch,77,83,87,87,90,93,94,94
33830,China,,498853,41.9549,126.4553,Bank Branch,64,62,61,66,65,68,73,72
40340,China,,387267,35.05653,108.8176,Bank Branch,78,81,80,82,85,87,88,89
48243,China,,820985,39.92059,116.3532,Bank Branch,78,79,78,75,78,76,77,78
24072,Guangzhou R&F Properties Co.,CNE100000569,10054268,27.16214,106.72599,Multi-Use,66,69,71,77,84,88,89,90
32270,Bank Guiyang Co.,CNE100002FX2,824505,26.5811,104.8386,Bank Branch,64,66,67,71,74,79,81,82
46790,China,,431218,30.78162,120.324,Bank Branch,79,80,82,85,87,86,89,89
30822,China,,389229,40.80577,114.8976,Bank Branch,78,76,74,67,66,66,67,68
11932,China,,391821,23.11613,113.2538,Bank Branch,63,64,62,64,68,67,69,72
48644,China,,415944,33.2566,113.0146,Bank Branch,67,70,70,70,72,73,74,76
37075,China,,494047,46.60238,124.9811,Bank Branch,80,80,82,81,82,82,83,83
37962,Huishang Bank,CNE100001QP7,318576,32.91341,117.4115,Bank Branch,64,67,67,71,74,74,76,78
26906,BNP Paribas,FR0000131104,4250993,31.234564,121.507439,Company Headquarters,80,80,82,84,86,86,88,88
52291,China,,385093,44.88996,82.06784,Bank Branch,72,72,73,74,73,72,73,75
5188,China,,448330,24.88916,118.9223,Bank Branch,74,72,73,77,76,79,80,82
40299,State-owned Assets Supervision,,71792,24.78685,113.21363,Power Plant,70,71,73,76,79,81,83,85
47972,China,,416748,45.54181,126.96,Bank Branch,63,62,62,67,70,69,75,76
4227,China,,425096,36.74958,118.4583,Bank Branch,70,70,66,66,67,66,67,68
28565,China,,495742,30.69435,104.0456,Bank Branch,64,69,66,71,75,78,81,81
19332,China,,491563,43.7597,87.6336,Bank Branch,80,80,79,80,81,81,82,85
48923,China,,495688,23.07637,114.3965,Bank Branch,67,68,65,67,67,68,69,71
2941,China,,584147,43.82362,125.3254,Bank Branch,79,80,79,81,82,81,86,86
18167,China,,450284,34.01999,113.7897,Bank Branch,72,78,78,78,79,79,80,81
26117,China,,582370,22.34818,113.4173,Bank Branch,69,69,68,71,72,74,74,75
37824,Hua Xia Bank,CNE000001FW7,462766,32.19289,119.4398,Bank Branch,63,64,64,68,71,71,71,74
23282,China,,388037,27.83093,113.1335,Bank Branch,66,68,69,69,73,73,75,77
27113,China,,446194,31.56963,119.4067,Bank Branch,77,78,79,82,85,85,86,88
37510,China,,414214,27.9433,108.2544,Bank Branch,67,70,73,77,81,85,85,89
47904,China,,390722,32.00054,120.8682,Bank Branch,66,67,67,71,74,75,77,80
15868,HSBC Holdings plc,GB0005405286,820804,31.23204,121.4765,Bank Branch,79,80,81,84,86,86,87,88
26431,Guangzhou Rural Commercial,CNE100002FR4,470362,23.28796,113.2965,Bank Branch,67,69,68,70,73,74,75,78
39550,China,,499135,38.00961,114.5551,Bank Branch,76,75,72,67,65,66,67,67
55935,XJ Electric Co.,CNE0000007F6,3831513,34.037239,113.852165,Instn Address,72,78,78,78,79,79,80,81
7017,China,,451340,28.37581,111.219,Bank Branch,70,70,72,75,79,81,83,86
10442,China,,491776,22.76342,113.2741,Bank Branch,66,66,65,67,70,69,72,73
46296,China,,445231,45.74498,126.6898,Bank Branch,63,63,62,67,70,68,74,75
43553,SASAC,,364367,45.4209,126.3547,Electric Plant,77,80,80,81,84,83,87,87
8192,Bank of Jilin Co.Ltd.,,292400,44.5761,124.4012,Bank Branch,66,67,66,69,74,72,80,77
15427,Jiangxi Bank,CNE1000031B3,637225,28.68261,115.8904,Bank Branch,64,66,67,67,71,72,73,75
2989,Beijing Rural Commercial Bank,,345961,40.05077,116.2392,Bank Branch,77,75,74,72,72,71,73,74
29606,China,,501073,25.777,113.0152,Bank Branch,67,69,70,72,74,74,77,78
25343,China,,837049,24.82869,103.9917,Bank Branch,67,72,76,81,85,91,91,91
49617,China,,410521,24.51466,118.1173,Bank Branch,71,69,71,73,71,74,77,78
35503,SASAC,,2261766,38.00172,107.0464,Electric Plant,76,77,80,80,83,83,85,86
36251,Bank of Shanghai Co. Ltd.,CNE100002FM5,530774,31.20157,121.4614,Bank Branch,79,80,81,84,86,86,87,88
13362,China,,777669,32.0086,120.8808,Bank Branch,66,67,67,71,74,75,77,80
4271,China Minsheng Banking,CNE0000015Y0,659081,22.5354,113.9192,Bank Branch,68,68,66,69,72,73,74,76
54191,Bank of Comms Co. Ltd.,CNE100000205,358327,31.23307,121.4535,Bank Branch,79,80,81,84,86,86,87,88
23164,China,,427489,30.6324,104.0449,Bank Branch,64,69,66,71,75,78,81,81
15783,Bank of Jiangsu Co. Ltd.,CNE100002G76,529025,31.55938,120.3013,Bank Branch,66,69,68,71,74,75,76,78
46239,China,,445637,31.07663,121.5171,Bank Branch,80,80,82,84,86,86,88,88
51094,China,,453700,30.68332,104.1106,Bank Branch,64,69,66,71,75,78,81,81
28291,China Vanke Co,CNE0000000T2,10204300,22.60216,113.89383,Multi-Use,71,70,69,72,75,77,79,81
9560,China,,420126,33.7654,119.2678,Bank Branch,63,67,66,68,70,71,72,74
4174,China,,448663,29.69966,115.9972,Bank Branch,64,67,68,68,71,71,74,75
43835,China,,448507,26.09155,119.3124,Bank Branch,73,73,74,76,75,79,80,81
963,China,,390394,34.29886,117.2423,Bank Branch,69,74,73,73,75,75,76,77
19344,China,,493393,31.85095,117.2389,Bank Branch,66,70,70,71,74,73,76,76
4582,SASAC,,16513,29.676576,98.564486,Electric Plant,63,64,66,74,75,83,87,89
8375,Industrial Bank,CNE000001QZ7,347520,25.84917,114.9454,Bank Branch,65,67,68,70,71,74,77,76
7387,Chongqing Rural Commercial,CNE100000X44,289919,30.04965,107.5982,Bank Branch,67,71,70,78,84,87,88,89
152,China,,296606,22.5359,114.1174,Bank Branch,71,72,71,74,76,78,80,82
9265,Bank of Zhengzhou Co. Ltd.,CNE1000023P0,791250,34.66786,112.4408,Bank Branch,72,78,79,78,80,81,80,82
11682,Industrial Bank,CNE000001QZ7,785832,37.68197,112.7148,Bank Branch,77,78,78,78,78,80,80,80
52265,China,,392021,22.51912,113.93,Bank Branch,72,72,72,75,78,80,82,84
9367,Bank Beijing,CNE100000734,752685,36.62204,117.027,Bank Branch,71,75,75,75,74,74,75,75
45446,Hua Xia Bank,CNE000001FW7,717429,30.85515,104.293,Bank Branch,67,72,70,76,82,86,87,89
51146,China,,449752,36.06506,120.4191,Bank Branch,79,80,82,80,82,84,84,87
27579,SASAC,,205827,42.63001,95.40809,Electric Plant,83,81,82,83,84,82,83,84
5628,China,,409368,31.60519,118.3076,Bank Branch,66,68,70,73,78,77,78,81
28413,China,,500285,34.24436,108.9164,Bank Branch,76,79,78,80,83,83,84,85
53903,China,,391888,23.08489,113.512,Bank Branch,64,65,62,65,67,67,70,72
38529,China,,418264,28.90308,111.967,Bank Branch,69,68,71,74,80,80,82,84
9191,Bank Nanjing,CNE100000627,467051,39.96831,116.4313,Bank Branch,78,79,78,75,78,76,77,78
32253,China,,422074,41.13025,121.128,Bank Branch,73,74,71,75,75,73,78,79
28291,Bank of Jilin Co.Ltd.,,292322,43.85451,126.5688,Bank Branch,63,62,58,59,56,58,61,59
4289,China,,426413,38.29327,109.7512,Bank Branch,82,81,80,79,81,82,82,83
11966,China,,428442,29.85941,95.76663,Bank Branch,69,69,69,72,75,83,84,86
41712,SASAC,,10059653,30.62898,104.0086,Multi-Use,64,69,66,71,75,78,81,81
14620,China,,608540,23.00324,113.3942,Bank Branch,68,69,68,70,74,74,76,78
32222,Qi Shang Bank Co. Ltd.,,304587,36.79924,118.0593,Bank Branch,71,69,67,66,67,65,67,68
47155,SASAC,,207079,32.33122,118.2952,Electric Plant,66,69,70,75,78,78,79,82
41849,SASAC,,3381952,40.767544,114.886335,Instn Address,78,76,74,67,66,66,67,68
43970,China,,392038,22.52414,114.0764,Bank Branch,71,72,71,74,76,78,81,83
40900,Beijing Hezong Science & Techn,CNE1000020W2,88460,38.68986,117.52828,Mining Property,74,74,68,64,64,67,75,82
25886,SASAC,,445284,47.70419,86.854,Electric Plant,70,70,71,72,75,75,79,82
16455,Country Garden Holdings,KYG245241032,10218536,36.39289,114.37384,Multi-Use,78,81,79,73,72,76,76,76
4206,SASAC,,1197315,41.90833,82.28333,Asset,74,66,68,68,68,71,71,72
52233,China,,389521,36.69204,114.183,Bank Branch,76,78,75,69,69,71,72,72
55427,China,,443567,38.00581,114.4594,Bank Branch,76,74,72,67,66,66,67,67
8160,China,,836740,26.32142,116.3301,Bank Branch,70,71,74,76,79,81,83,84
34106,SASAC,,252972,31.74176,117.9863,Electric Plant,70,73,74,77,81,80,82,83
26506,China Zheshang Bank Ltd,CNE1000025S9,789932,34.26075,108.9696,Bank Branch,77,79,78,79,82,82,83,85
48170,China,,428509,29.14362,91.67048,Bank Branch,64,60,61,64,70,78,80,83
18980,Dongguan Rural Comm Bk Co. Ltd,CNE100004QH8,833634,22.93905,113.789,Bank Branch,70,70,69,72,75,76,78,80
2985,Bank of Jiangsu Co. Ltd.,CNE100002G76,590045,31.24615,121.4767,Bank Branch,79,80,81,84,86,86,87,88
8665,SASAC,,10133405,34.29181,108.82499,Multi-Use,77,79,78,79,82,82,83,85
9179,China,,422119,41.76875,123.2969,Bank Branch,76,74,69,75,75,75,80,79
40993,Huishang Bank,CNE100001QP7,731615,33.41143,115.6173,Bank Branch,63,67,68,68,71,73,73,76
31915,China,,445716,31.1916,121.6874,Bank Branch,80,80,82,84,86,86,88,88
28169,SASAC,,70664,31.53719,121.11398,Power Plant,71,73,75,80,84,85,87,89
26103,China,,526432,25.08911,102.9153,Bank Branch,77,80,84,88,91,93,94,94
5107,Zhejiang Chouzhou Comm Bk Ltd,,467241,29.45194,119.8999,Bank Branch,68,70,70,73,77,75,77,79
2393,China,,500874,36.58143,114.4955,Bank Branch,76,78,75,70,69,72,72,72
28618,Bank of Wenzhou Co. Ltd.,,589904,28.04744,120.8916,Bank Branch,76,77,78,79,82,83,84,85
42500,China Merchants Bank,CNE000001B33,874778,31.29023,121.1614,Bank Branch,77,78,80,82,84,85,86,87
47781,China,,789088,34.66119,112.3769,Bank Branch,72,78,79,78,80,80,80,82
47873,Powerlong Real Estate Holdings,KYG720051047,10208542,36.38106,120.40373,Multi-Use,79,80,81,79,81,83,84,86
36186,China,,493219,24.46648,118.1152,Bank Branch,72,72,75,76,78,78,83,85
36124,China,,419939,33.02336,119.0093,Bank Branch,64,64,63,69,68,71,71,73
53365,Bank Beijing,CNE100000734,752724,34.26103,108.9931,Bank Branch,77,79,78,79,82,82,83,85
5353,China,,410488,25.7172,119.3825,Bank Branch,68,68,70,74,72,76,78,80
20904,China,,451904,23.11774,113.259,Bank Branch,63,64,62,64,68,67,69,72
29996,China,,317895,39.03726,117.649,Bank Branch,64,66,61,59,60,59,62,62
17441,Bank of Chongqing Co. Ltd.,CNE100001QN2,490462,29.29857,108.1549,Bank Branch,68,70,72,77,82,85,87,89
46458,Zhejiang Xiaoshan Rural Comm B,,598059,30.30461,120.1987,Bank Branch,76,77,77,81,82,81,83,83
39016,China,,413617,21.61088,108.3386,Bank Branch,66,68,68,71,73,75,74,75
51246,China,,453499,27.88225,102.2541,Bank Branch,59,63,64,74,75,80,82,83
49415,China,,443056,39.98323,116.4725,Bank Branch,78,79,78,75,77,76,77,78
14832,China,,831583,41.8844,123.9683,Bank Branch,75,74,69,75,75,75,80,80
5491,China,,418597,28.27789,113.7495,Bank Branch,68,71,72,75,79,79,82,84
34016,Chang'an Bank Co.,,840396,34.16393,108.9304,Bank Branch,77,79,78,80,83,83,84,85
22777,China Merchants Bank,CNE000001B33,318745,40.137,124.3984,Bank Branch,63,66,59,67,68,70,73,74
19550,China,,609040,30.8366,106.9698,Bank Branch,70,74,72,77,82,85,86,88
10471,China,,493205,24.50435,118.1187,Bank Branch,71,69,71,73,71,74,77,78
39723,Bank of Shaoxing Co. Ltd.,,871166,30.07627,120.6554,Bank Branch,72,73,76,80,83,83,85,87
49768,China,,421450,26.15794,115.1503,Bank Branch,70,71,74,76,78,81,84,83
18210,China Merchants Bank,CNE000001B33,873495,22.62476,114.0205,Bank Branch,69,70,69,73,75,77,79,81
1513,China,,451870,23.03662,113.0838,Bank Branch,63,64,64,65,69,67,70,72
21000,China,,454898,35.0671,109.074,Bank Branch,77,81,80,81,85,86,87,89
29405,China,,318008,32.03952,118.7716,Bank Branch,62,63,62,68,69,71,70,73
47156,SASAC,,445654,36.79355,108.013,Electric Plant,67,71,69,71,76,76,78,80
27391,China,,455051,35.54329,106.6653,Bank Branch,69,74,75,76,81,82,82,84
55977,China,,717491,34.73845,119.3697,Bank Branch,68,74,72,74,75,79,81,84
17846,LongJiang Bank,,524667,46.98106,128.0204,Bank Branch,73,71,73,76,79,77,80,83
42650,China,,415025,39.75441,116.9877,Bank Branch,78,78,78,76,77,76,77,78
20997,China,,453421,29.47004,106.4822,Bank Branch,67,67,66,70,74,77,77,79
25780,China,,609510,30.70128,111.2974,Bank Branch,62,64,64,66,73,71,75,76
