,Ultimate Parent Name,Ultimate Parent ISIN,Asset ID,Latitude,Longitude,Activity Description,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
18557,China,,425358,37.39137,121.5609,Bank Branch,80,84,84,85,86,89,91,92
18873,Greentown China Holdings Ltd.,KYG4100M1050,10216368,30.44967,120.27665,Multi-Use,79,80,81,85,86,86,88,89
37110,SASAC,,16603,27.537874,119.388864,Electric Plant,73,75,76,80,83,85,86,88
22364,China,,608920,29.80943,121.6738,Bank Branch,77,78,80,84,86,86,89,90
4055,China,,831457,24.43997,98.58343,Bank Branch,64,65,68,71,73,77,82,81
30798,China,,809679,40.76027,114.8646,Bank Branch,78,76,74,67,66,66,67,68
11686,China,,410920,39.7222,98.49905,Bank Branch,79,77,77,75,76,78,80,77
20909,China,,388190,29.43323,113.1524,Bank Branch,64,66,67,68,72,71,73,76
26543,Korea Electric Power Corp.,KR7015760002,70355,44.42557,119.91089,Power Plant,77,72,71,75,78,79,80,81
22607,China,,444818,43.84887,126.5679,Bank Branch,63,62,58,59,56,58,61,59
14758,China,,501270,31.17251,108.4058,Bank Branch,63,65,65,70,75,76,78,80
39679,Beijing Municipal People's Gov,,10176315,38.96688,117.37408,Multi-Use,69,71,64,62,63,64,66,66
5215,China,,450655,30.58268,114.2749,Bank Branch,62,65,67,68,72,70,73,73
10902,China,,418347,27.05825,110.5859,Bank Branch,70,72,75,78,81,84,85,87
42715,China Guangfa Bank,,596229,31.23909,121.4978,Bank Branch,79,80,81,84,86,86,87,88
2530,Ping An Ins (Grp) Co. CN Ltd,CNE1000003X6,807840,38.05403,114.5431,Bank Branch,76,75,73,67,66,66,67,67
12701,China Logistics Property,KYG212091048,10119539,31.20848,118.21337,Warehouse/ Distribution Center,66,68,72,73,78,76,79,81
54479,China,,832226,27.83928,112.9431,Bank Branch,67,68,69,70,73,74,76,78
46182,China,,499284,30.01961,120.5958,Bank Branch,72,73,75,80,83,83,85,86
38598,China,,583329,24.31168,116.1023,Bank Branch,67,68,68,69,68,68,70,71
19337,China,,394919,20.06222,110.3246,Bank Branch,70,72,75,75,78,81,81,82
16626,Guizhou Yibai Pharmaceutical C,CNE000001H03,4812193,26.608924,106.657437,Company Headquarters,63,66,67,71,76,79,80,82
42550,Shanghai Pudong Development,CNE0000011B7,756769,37.73956,115.6829,Bank Branch,78,78,76,71,69,70,72,72
47603,China,,517405,30.91742,121.472,Bank Branch,73,74,75,79,81,81,83,83
3874,China,,494766,34.36231,107.1638,Bank Branch,76,80,79,82,84,85,85,87
515,China,,495310,35.64162,109.0864,Bank Branch,64,70,68,68,73,75,76,78
40473,Country Garden Holdings,KYG245241032,10202064,31.26337,120.52756,Multi-Use,77,78,78,81,83,83,85,86
51185,II-VI Inc.,US9021041085,3052906,26.077667,119.36381,Instn Address,73,74,74,76,76,79,80,81
21177,China,,388881,40.21273,116.2366,Bank Branch,77,75,74,72,72,71,73,73
25716,China Merchants Bank,CNE000001B33,803919,24.6135,118.0797,Bank Branch,70,68,70,72,70,73,76,77
17082,Bank of Tianjin Co. Ltd.,CNE100002623,710471,39.13341,117.1318,Bank Branch,65,67,62,58,60,59,62,61
10457,China,,500971,34.72871,113.6001,Bank Branch,72,77,80,79,80,80,80,82
36199,China,,424881,35.05729,118.3316,Bank Branch,64,69,67,68,68,70,71,74
39856,Shenzhen Municipal People's Gv,,4150025,22.54368,114.057907,Instn Address,67,68,66,69,71,73,74,76
22488,China,,453401,29.70458,107.4025,Bank Branch,66,67,66,70,76,78,79,80
75,China,,831355,23.17067,113.3969,Bank Branch,67,69,68,70,73,74,76,78
5198,Wheelock and Co. Ltd.,HK0020000177,10177183,30.30038,120.12035,Residential,76,77,77,80,82,81,83,83
49526,China,,389990,35.74177,119.1983,Bank Branch,76,79,79,77,79,81,80,86
52278,China,,421123,28.74869,115.825,Bank Branch,67,70,73,73,78,78,80,82
30892,China,,386071,28.76558,104.616,Bank Branch,64,67,65,71,73,76,76,77
51205,Industrial Bank,CNE000001QZ7,879395,24.51284,117.7024,Bank Branch,73,73,73,74,74,76,78,79
10128,China,,499144,38.0319,114.8465,Bank Branch,75,74,72,66,65,66,66,67
20362,China,,385792,30.63921,104.0945,Bank Branch,64,69,66,71,75,78,81,81
30115,China,,445869,32.01823,118.7833,Bank Branch,62,63,62,68,69,71,70,73
10546,China,,736399,36.71291,117.0429,Bank Branch,71,75,75,75,74,74,75,75
20951,China,,832041,36.97584,117.1628,Bank Branch,70,75,75,75,73,73,75,75
20166,Dongguan Rural Comm Bk Co. Ltd,CNE100004QH8,843739,23.06399,113.7096,Bank Branch,65,66,63,66,68,68,71,73
54080,KWG Group Holdings Ltd.,KYG532241042,10008338,23.12521,113.32913,Multi-Use,63,64,62,64,68,67,69,72
54385,China,,393932,30.28781,120.1941,Bank Branch,76,77,77,81,82,81,83,83
38524,China,,497008,37.58433,107.6038,Bank Branch,80,80,79,80,82,81,83,84
7077,China Merchants Bank,CNE000001B33,318958,36.04821,103.8467,Bank Branch,56,57,61,57,68,69,72,74
38674,China,,430727,30.24786,120.1961,Bank Branch,68,68,68,73,76,74,75,77
55944,Bank Nanjing,CNE100000627,467089,32.0152,118.7989,Bank Branch,62,63,62,68,69,71,70,73
31939,China,,495615,27.55094,109.9859,Bank Branch,67,68,70,70,75,76,76,79
54705,China,,426382,33.16568,106.8941,Bank Branch,67,70,67,73,77,79,80,81
37468,China Merchants Bank,CNE000001B33,318755,23.01097,113.757,Bank Branch,66,66,63,67,69,69,71,73
46683,China,,423570,36.34194,102.7885,Bank Branch,68,66,72,71,79,82,84,86
54622,China,,418421,28.70675,113.5821,Bank Branch,65,68,66,68,72,71,74,76
14606,SASAC,,70248,31.58453,121.25745,Power Plant,54,56,55,59,62,62,64,67
19970,Gemdale Ppts & Invts Corp Ltd.,BMG3911S1035,10107403,41.83534,123.44683,Multi-Use,76,74,69,76,75,75,80,80
35802,Sunac China Holdings Ltd.,KYG8569A1067,10201111,31.77978,119.92921,Multi-Use,64,67,64,68,72,72,73,74
53148,CIFI Holdings (Group) Co. Ltd.,KYG2140A1076,10093696,31.36275,120.51003,Residential,77,78,78,81,83,83,85,86
30910,China,,391551,29.28,117.1914,Bank Branch,64,65,67,68,72,73,75,75
39685,Fantasy Pearl Intl Ltd,,10209735,24.90428,102.59859,Multi-Use,77,79,85,88,91,93,94,94
354,China,,601239,45.72855,126.6217,Bank Branch,63,63,62,67,70,68,74,75
51695,China,,428755,29.30163,89.55569,Bank Branch,67,64,65,66,71,77,77,82
41558,China,,583138,42.89494,129.4835,Bank Branch,76,74,78,80,81,81,86,87
32527,China,,454569,33.034,108.2588,Bank Branch,66,68,64,69,75,76,79,79
929,Guangzhou Rural Commercial,CNE100002FR4,528350,23.36635,113.3535,Bank Branch,66,68,68,69,73,73,75,78
13584,China,,832960,32.64708,115.5851,Bank Branch,61,65,63,65,69,69,69,71
34569,China,,422688,41.81911,123.4311,Bank Branch,76,74,69,76,75,75,80,80
38515,China,,496062,34.8307,114.8229,Bank Branch,59,64,63,63,62,63,65,66
17834,Samsung Heavy Industries Co.,KR7010140002,25261,29.9683833,121.7322167,Port Terminal,78,79,82,86,88,89,92,92
35713,Bank of Ningbo Co. Ltd.,CNE1000005P7,872319,31.21146,121.3151,Bank Branch,79,79,81,83,85,86,87,88
8699,China,,690244,30.81823,120.4959,Bank Branch,79,80,82,85,87,87,89,90
11951,Bank of Comms Co. Ltd.,CNE100000205,358363,30.87207,121.8199,Bank Branch,76,76,79,83,86,86,89,90
22303,China,,775826,32.22257,120.6278,Bank Branch,69,71,72,77,80,82,83,86
52369,China,,496438,22.00738,100.7987,Bank Branch,64,66,72,73,72,77,78,77
51618,Bank of Hangzhou,CNE100002GQ4,776106,31.26113,117.2799,Bank Branch,67,70,72,71,75,74,76,77
27300,China,,3026075,35.089425,112.934154,Instn Address,76,76,75,74,76,75,74,75
15006,SASAC,,72574,31.25493,120.7635,Power Plant,80,81,82,85,87,88,90,91
43365,China,,820377,23.14634,111.7745,Bank Branch,62,64,64,64,65,66,65,69
4790,Chongqing Rural Commercial,CNE100000X44,290542,29.0963,106.4022,Bank Branch,71,73,73,78,83,87,87,89
44077,China,,418288,27.86198,109.8001,Bank Branch,67,68,69,71,75,76,77,79
38659,Shanghai Pudong Development,CNE0000011B7,593639,30.90268,121.1643,Bank Branch,81,81,84,87,88,89,91,91
10173,Yuexiu Property Co. Ltd.,HK0000745908,10216460,29.74522,106.58019,Multi-Use,69,72,70,76,81,85,86,88
32139,China,,414654,38.25898,114.2118,Bank Branch,80,81,78,73,74,74,76,74
